repo,total_rows,issues,comments,unique_users,open_issues,closed_issues,date_min,date_max
scikit-learn/scikit-learn,11924,1996,9928,1860,428,1568,2023-04-23,2026-05-13
huggingface/transformers,9881,1993,7888,2378,250,1743,2025-04-02,2026-05-14
pytorch/pytorch,6746,1998,4748,907,938,1060,2026-02-04,2026-05-14
keras-team/keras,11205,1996,9209,1658,155,1841,2021-09-08,2026-05-13
langchain-ai/langchain,8323,1994,6329,2956,409,1585,2024-09-12,2026-05-14
