rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
1,qgallouedec,0.006195663033192948,0.010845271555961373,1.0,16,4,0.3057318466800656,5
2,LysandreJik,0.004730733020999246,0.00017405954637358581,0.9375,15,3,0.28319451107231175,5
3,jiqing-feng,0.0022959297859587754,6.250962759889357e-05,0.875,14,2,0.2634371248026632,5
4,Jintao-Huang,0.0018733230046600203,4.632409902418006e-05,0.875,14,1,0.2632632264315713,5
5,ArthurZucker,0.002837446290619806,0.026219812128802575,0.75,12,154,0.23400092215488869,5
6,molbap,0.006002557930799562,0.000686117579121189,0.6875,11,12,0.20885685844605617,4
7,arjunaskykok,0.001874356998652137,0.0,0.6875,11,0,0.20699974279946085,4
8,AmitMY,0.0014278945372729506,0.0,0.625,10,0,0.18807115781490918,5
9,jackzhxng,0.001860910854001648,8.7439062415119e-06,0.5625,9,1,0.16949698751347309,4
10,romitjain,0.001967542814212109,0.0,0.5,8,0,0.15078701712568485,5
11,juzhxng,0.0017722312374590574,0.0,0.5,8,0,0.15070889249498362,3
12,simonreise,0.0017705187609855918,0.0,0.5,8,0,0.15070820750439423,4
13,vadimkantorov,0.0015426204403193185,6.027714089893309e-05,0.5,8,2,0.1506351313183974,5
14,avihu111,0.0017522718702960556,0.0012728150838708047,0.4375,7,1,0.13233275327327967,5
15,MHRDYN7,0.0020025109872976467,1.1720555174792546e-05,0.4375,7,1,0.1320545205614715,3
16,PamelaBha,0.0015497454348506405,0.00013004235027269824,0.4375,7,2,0.13190891087902207,3
17,mobicham,0.0009757276398838136,8.316012957352806e-05,0.4375,7,2,0.13166523909482558,5
18,Rocketknight1,0.003708478542492318,0.020425206858496813,0.375,6,374,0.12011095347454596,5
19,albertvillanova,0.002980928187187732,0.0023871980282677463,0.375,6,3,0.11440853068335541,4
20,vasqu,0.0014130324837262679,0.004418314427891795,0.375,6,98,0.11439070732185803,5
21,Vectorwh,0.0026968326996090765,0.0,0.375,6,0,0.11357873307984362,2
22,Kaihui-intel,0.0024206663798321845,0.0,0.375,6,0,0.11346826655193286,5
