rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number,mean_sentiment,n_posts
1,mdrxy,0.012168856263988804,0.029120200473525072,1.0,23,106,0.313603602647653,4,0.31639299610894944,257
2,theaniketgiri,0.00612648024059476,0.0,0.9565217391304348,22,0,0.2894071138353683,4,0.5313,9
3,khteh,0.006992321523232983,0.0,0.782608695652174,18,0,0.23757953730494538,4,-0.004403703703703706,81
4,ccurme,0.004023423729824335,0.018854866748597335,0.5217391304347826,12,114,0.16378756864694372,4,0.22039603524229073,227
5,Alioth99,0.004326940302749999,0.0,0.5217391304347826,12,0,0.15825251525153478,3,-0.5485,18
6,keenborder786,0.002565053751381531,0.018786076347602765,0.4782608695652174,11,158,0.15014010527439867,4,0.1509994722955145,379
7,razashariff,0.004000810919084578,0.0,0.4782608695652174,11,0,0.14507858523719905,4,0.5415347826086956,23
8,The-Nexus-Guard,0.0035787784830200882,0.0,0.4782608695652174,11,0,0.14490977226277327,3,0.9769,3
9,aniketh-maddipati,0.003662125248093414,0.0,0.43478260869565216,10,0,0.131899632707933,3,0.5717428571428572,7
10,up2itnow0822,0.003072940240430188,1.4257077926336529e-05,0.43478260869565216,10,1,0.13166823582824563,3,0.26949999999999996,8
11,eyurtsev,0.003682650167330759,0.010121574855837177,0.34782608695652173,8,65,0.10885735861063997,4,0.18670503144654088,159
12,caravin,0.0036467234634095617,0.0,0.34782608695652173,8,0,0.10580651547232034,4,0.06574285714285712,7
13,d-r-e,0.0034738046579231457,0.0,0.34782608695652173,8,0,0.10573734795012578,3,0.36675,4
14,cbornet,0.002746146065503427,0.00010265096106962302,0.34782608695652173,8,2,0.10547707980147877,4,-0.0364,23
15,nevanwang,0.0022301888296532408,1.1405662341069223e-05,0.34782608695652173,8,1,0.10524332331752013,3,0.7080625,8
18,imran-siddique,0.0016970251665182053,0.0,0.34782608695652173,8,0,0.1050266361535638,4,0.8124333333333333,3
19,insilications,0.0027158308584441203,0.004777546813115371,0.30434782608695654,7,1,0.09382394421339922,3,-0.1323,3
20,efriis,0.002052569216321459,0.0042077389319927876,0.30434782608695654,7,12,0.09338769719221338,4,0.3308263157894737,38
22,sydney-runkle,0.002123858267886502,0.005482084080641834,0.2608695652173913,6,51,0.08075503809656454,3,0.3476734693877551,98
23,IanDoesTech,0.0026285452817684575,0.0001938962597981768,0.2608695652173913,6,1,0.07937045655586422,3,0.844425,4
25,davidgilbertson,0.0022320784316149007,4.063267209005911e-05,0.2608695652173913,6,1,0.07916589073949036,4,-0.5590999999999999,4
26,maomaoati-coder,0.0022116793856185356,0.0,0.2608695652173913,6,0,0.0791455413194648,3,0.8268047619047619,21
27,Heime-Jorgen,0.0019554813986080773,0.0,0.2608695652173913,6,0,0.07904306212466061,4,0.2597714285714286,7
28,sarahec,0.001856750762910869,0.0,0.2608695652173913,6,0,0.07900356987038173,4,-0.23845333333333332,15
