rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number,mean_sentiment,n_posts
1,atalman,0.03347213405240984,0.0940812892851663,1.0,39,22,0.3416132404065138,5,-0.10572303030303032,165
2,zou3519,0.01715628517257124,0.02980024082965259,0.5384615384615384,21,14,0.1773410478563858,5,0.11834942528735633,87
3,maybeLee,0.0064895902904488385,0.0,0.5128205128205128,20,0,0.15644198996233336,5,0.03192173913043478,23
4,malfet,0.016792227596133424,0.09902810651473755,0.3333333333333333,13,93,0.13642532299287463,5,0.0859831541218638,279
5,jasminetrail,0.008770112292050125,0.0,0.358974358974359,14,0,0.11120035260912774,5,0.23058541666666665,48
6,xmfan,0.0069007271140678235,0.018953605751734104,0.3076923076923077,12,10,0.10075406487883967,5,-0.22470178571428573,56
7,Shawn0v0,0.005334554456392166,0.0,0.3076923076923077,12,0,0.09444151409024917,5,-0.13492500000000002,16
8,kwen2501,0.005697343304116573,0.0367911885124452,0.2564102564102564,10,5,0.0902393707984571,5,0.23902857142857142,28
9,kshitij12345,0.0036687902721659568,0.0048431259828318725,0.28205128205128205,11,7,0.08753583851910055,5,0.03511923076923077,26
10,himi1008,0.005171280825038602,0.0,0.28205128205128205,11,0,0.08668389694540005,5,0.4740727272727273,22
11,fffrog,0.005846016698159426,0.009795942332707036,0.2564102564102564,10,3,0.0822002663021528,4,0.7218418604651163,43
13,Blooming-Tree,0.004969878986289329,0.0,0.2564102564102564,10,0,0.07891102851759264,5,0.947275,24
14,weifengpy,0.00539503695937284,0.022968238710217317,0.23076923076923078,9,14,0.07827925562758356,5,0.30929512195121955,41
15,guangyey,0.00671016097408526,0.014185239001415472,0.23076923076923078,9,10,0.07617040532082799,5,-0.16059857142857145,70
16,huydhn,0.0056344420262969905,0.03618164226452996,0.20512820512820512,8,6,0.07464673102833932,5,-0.1747245283018868,53
17,galv,0.004270406790985075,0.007757561066384597,0.23076923076923078,9,2,0.07326620026707864,5,-0.12898823529411765,17
18,wuyii8941,0.00449025420537834,0.0,0.23076923076923078,9,0,0.07102687091292056,5,-0.2918391304347826,23
19,sssssh1228,0.004118118735653672,0.0,0.23076923076923078,9,0,0.0708780167250307,5,0.2437181818181818,11
20,hiahu329,0.003748248779526018,0.0,0.23076923076923078,9,0,0.07073006874257964,4,0.648530303030303,33
21,rookieLiu2018,0.002634027901255071,0.0,0.23076923076923078,9,0,0.07028438039127126,5,0.008454545454545458,11
22,ezyang,0.004256068046649317,0.018753979599567844,0.20512820512820512,8,11,0.06886708263699161,5,0.10763421052631578,38
23,svekars,0.005596401551348322,0.008171941995471409,0.20512820512820512,8,4,0.06622860475764228,3,0.5502520833333333,96
24,ad8e,0.0022808063207940903,0.011225329607682551,0.20512820512820512,8,1,0.06581838294908393,5,-0.170055,20
25,liqiangxl,0.0036221958964532666,0.007569027421968598,0.20512820512820512,8,10,0.06525804812363342,5,0.2784413793103448,29
26,beanduan22,0.004492350955693466,0.0,0.20512820512820512,8,0,0.06333540192073892,4,0.04116285714285715,35
27,prorrice,0.0030101445325176374,0.0,0.20512820512820512,8,0,0.06274251935146859,5,0.3684588235294117,17
28,Lucaskabela,0.00486143117006665,0.010019638144638148,0.1794871794871795,7,10,0.058796617757571945,5,0.10761320754716981,53
29,jithunnair-amd,0.002384440029464797,0.010007438683909268,0.1794871794871795,7,5,0.05780216146311254,5,-0.34755084745762715,59
30,tugsbayasgalan,0.003562970001361601,0.00018066194536782773,0.1794871794871795,7,3,0.05532554043030883,3,-0.11953809523809523,21
31,danielvegamyhre,0.0035707283707352233,0.0,0.1794871794871795,7,0,0.05527444519444793,5,0.1260142857142857,7
32,Flamefire,0.002781026592037387,0.000746736040853688,0.1794871794871795,7,1,0.055182585295224906,4,-0.24496190476190474,21
33,jeffdaily,0.0029166960333701095,0.006678369546016605,0.15384615384615385,6,7,0.04932403543099918,5,-0.19133235294117648,34
34,sekyondaMeta,0.007214501301512466,0.0,0.15384615384615385,6,0,0.04903964667445114,2,-0.6051818181818182,22
35,hvaara,0.004008786356850868,0.0026497176564021494,0.15384615384615385,6,4,0.04855227599350715,4,0.143178125,32
36,jovan2009,0.005561772218497897,0.0,0.15384615384615385,6,0,0.048378555041245316,4,0.041083333333333326,12
37,ZJY0516,0.004298728158440738,0.0,0.15384615384615385,6,0,0.04787333741722245,5,0.6062,3
38,Birch-san,0.003852243619201335,0.0,0.15384615384615385,6,0,0.04769474360152669,4,-0.17685,18
39,vmoens,0.003297940649653329,0.0,0.15384615384615385,6,0,0.04747302241370749,5,-0.015424999999999987,16
40,psiwho,0.0023912988614604993,0.0,0.15384615384615385,6,0,0.047110365698430356,4,0.05897142857142856,7
41,ALinrunrun,0.0023472844701808555,0.0,0.15384615384615385,6,0,0.0470927599419185,4,0.2410157894736842,19
42,nikitaved,0.00976612950754973,0.007091131907308375,0.1282051282051282,5,2,0.04449532983675086,4,0.23770666666666665,15
43,aorenste,0.005483395351654052,0.009043025403319511,0.1282051282051282,5,12,0.04336780422319593,5,-0.07199310344827586,58
44,mansiag05,0.007035803015366269,0.00676945327680622,0.1282051282051282,5,1,0.04330669565072683,4,0.61105,4
45,nWEIdia,0.003407504310722241,0.004423636776577954,0.1282051282051282,5,4,0.041151631218800735,5,0.17892258064516128,31
46,fmassa,0.0020093560133879955,0.005960909085909087,0.1282051282051282,5,1,0.04105355359266638,5,-0.42355714285714285,7
47,pianpwk,0.0026023858719885665,0.0028568532245002837,0.1282051282051282,5,4,0.04035954877768397,5,0.009983333333333344,12
48,SilentTester73,0.004327866786995803,0.0,0.1282051282051282,5,0,0.04019268517633678,3,-0.08688571428571426,7
49,kurtamohler,0.0025330697034931,0.002191027926322044,0.1282051282051282,5,3,0.04013207472083231,4,-0.09871428571428573,7
50,AGFACBNNR,0.004134054503645561,0.0,0.1282051282051282,5,0,0.040115160262996684,3,0.18964999999999999,6
51,ilmarkov,0.004055236209951352,0.0,0.1282051282051282,5,0,0.040083632945519,4,0.2667428571428571,7
53,dxqb,0.003002602289174779,0.0,0.1282051282051282,5,0,0.039662579377208365,4,0.03312000000000002,10
54,apbose,0.0029950878074041782,0.0,0.1282051282051282,5,0,0.039659573584500125,3,-0.24017999999999998,5
55,zifan6699,0.002884725851170365,0.0,0.1282051282051282,5,0,0.0396154288020066,3,0.3774625,16
56,zxd1997066,0.0028173304413245896,0.0,0.1282051282051282,5,0,0.03958847063806829,3,0.31298888888888887,9
57,Prorrrice,0.0021265404004526044,0.0,0.1282051282051282,5,0,0.0393121546217195,4,0.7565000000000001,5
58,tinywisdom,0.002107118550951513,0.0,0.1282051282051282,5,0,0.03930438588191906,3,-0.12033529411764707,17
59,pganssle-google,0.008478698471396035,0.014685959355077,0.10256410256410256,4,1,0.03856649796431228,4,0.41138,5
60,williamwen42,0.0023095758762411355,0.006895063696534284,0.10256410256410256,4,11,0.033761580228687506,5,0.07244,25
61,jhavukainen,0.0030547778064843275,0.005622300107594226,0.10256410256410256,4,5,0.033677831924102765,4,0.32244666666666666,15
62,bdhirsh,0.001716036895702685,0.0030916541945953738,0.10256410256410256,4,6,0.032383141785890454,5,0.0784818181818182,11
65,jianyizh,0.0033675215671799767,0.0,0.10256410256410256,4,0,0.03211623939610276,2,0.14291666666666666,6
