rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
1,mdrxy,0.012168856263988804,0.029120200473525072,1.0,23,106,0.313603602647653,4
2,theaniketgiri,0.00612648024059476,0.0,0.9565217391304348,22,0,0.2894071138353683,4
3,khteh,0.006992321523232983,0.0,0.782608695652174,18,0,0.23757953730494538,4
4,ccurme,0.004023423729824335,0.018854866748597335,0.5217391304347826,12,114,0.16378756864694372,4
5,Alioth99,0.004326940302749999,0.0,0.5217391304347826,12,0,0.15825251525153478,3
6,keenborder786,0.002565053751381531,0.018786076347602765,0.4782608695652174,11,158,0.15014010527439867,4
7,razashariff,0.004000810919084578,0.0,0.4782608695652174,11,0,0.14507858523719905,4
8,The-Nexus-Guard,0.0035787784830200882,0.0,0.4782608695652174,11,0,0.14490977226277327,3
9,aniketh-maddipati,0.003662125248093414,0.0,0.43478260869565216,10,0,0.131899632707933,3
10,up2itnow0822,0.003072940240430188,1.4257077926336529e-05,0.43478260869565216,10,1,0.13166823582824563,3
11,eyurtsev,0.003682650167330759,0.010121574855837177,0.34782608695652173,8,65,0.10885735861063997,4
12,caravin,0.0036467234634095617,0.0,0.34782608695652173,8,0,0.10580651547232034,4
13,d-r-e,0.0034738046579231457,0.0,0.34782608695652173,8,0,0.10573734795012578,3
14,cbornet,0.002746146065503427,0.00010265096106962302,0.34782608695652173,8,2,0.10547707980147877,4
15,nevanwang,0.0022301888296532408,1.1405662341069223e-05,0.34782608695652173,8,1,0.10524332331752013,3
16,hlwz5735,0.002216448191376782,0.0,0.34782608695652173,8,0,0.10523440536350723,3
17,joaopaulo7,0.0020601484309820594,0.0,0.34782608695652173,8,0,0.10517188545934934,3
18,imran-siddique,0.0016970251665182053,0.0,0.34782608695652173,8,0,0.1050266361535638,4
19,insilications,0.0027158308584441203,0.004777546813115371,0.30434782608695654,7,1,0.09382394421339922,3
20,efriis,0.002052569216321459,0.0042077389319927876,0.30434782608695654,7,12,0.09338769719221338,4
21,Ashton-Sidhu,0.0021128191072378975,0.0,0.30434782608695654,7,0,0.09214947546898211,3
22,sydney-runkle,0.002123858267886502,0.005482084080641834,0.2608695652173913,6,51,0.08075503809656454,3
23,IanDoesTech,0.0026285452817684575,0.0001938962597981768,0.2608695652173913,6,1,0.07937045655586422,3
24,Kenneth-Kuo,0.002480789615874549,0.0,0.2608695652173913,6,0,0.0792531854115672,2
25,davidgilbertson,0.0022320784316149007,4.063267209005911e-05,0.2608695652173913,6,1,0.07916589073949036,4
26,maomaoati-coder,0.0022116793856185356,0.0,0.2608695652173913,6,0,0.0791455413194648,3
27,Heime-Jorgen,0.0019554813986080773,0.0,0.2608695652173913,6,0,0.07904306212466061,4
28,sarahec,0.001856750762910869,0.0,0.2608695652173913,6,0,0.07900356987038173,4
29,llmrix,0.0017725021392451898,0.0,0.2608695652173913,6,0,0.07896987042091545,3
30,gautamvarmadatla,0.0017173580250089155,0.0,0.2608695652173913,6,0,0.07894781277522095,3
31,tsmith-perchgroup,0.0016746738582653605,2.851415585267306e-06,0.2608695652173913,6,1,0.0789315945331991,3
32,edwardmeng,0.003538014802257668,0.0,0.21739130434782608,5,0,0.06663259722525089,3
33,nick-youngblut,0.0034615315383793406,9.69481298990884e-05,0.21739130434782608,5,1,0.0666310883586693,3
34,p3nnst8r,0.0033858790242352705,0.0,0.21739130434782608,5,0,0.06657174291404193,3
35,niilooy,0.0027155796117791114,0.0,0.21739130434782608,5,0,0.06630362314905947,3
36,ChrisRawstone,0.0024295257549598976,0.0,0.21739130434782608,5,0,0.06618920160633178,2
37,elliotllliu,0.002411822891870184,0.0,0.21739130434782608,5,0,0.0661821204610959,2
38,sbhrwlr,0.0023360131836067358,0.0,0.21739130434782608,5,0,0.06615179657779052,3
39,Subham07,0.0023264594815771904,0.0,0.21739130434782608,5,0,0.0661479750969787,3
40,ngockhanh5110,0.0021114212742118065,0.0,0.21739130434782608,5,0,0.06606195981403255,2
41,graylin-byte,0.0019129574713698597,0.0,0.21739130434782608,5,0,0.06598257429289577,3
42,jessieibarra,0.0017759035999951112,0.0,0.21739130434782608,5,0,0.06592775274434587,2
43,goingforstudying-ctrl,0.001759571968684517,1.7821347407920663e-05,0.21739130434782608,5,3,0.065926566496044,3
44,Srinivasulu2003,0.00175090860637369,0.0,0.21739130434782608,5,0,0.0659177547468973,4
45,indexedakki,0.0016943943358073657,7.128538963168264e-06,0.21739130434782608,5,1,0.06589728760035972,3
46,jmoreno11,0.0016873442558399993,0.0,0.21739130434782608,5,0,0.06589232900668382,3
47,backer-and,0.0016543702068803773,0.0,0.21739130434782608,5,0,0.06587913938709998,3
48,bart0401,0.0015856188782760257,0.0,0.21739130434782608,5,0,0.06585163885565823,3
49,cladden,0.0015555877859604736,0.0,0.21739130434782608,5,0,0.06583962641873202,3
50,294978174,0.0015454723613054016,0.0,0.21739130434782608,5,0,0.06583558024886998,3
51,ENOCH-lyn,0.0014557164904346377,0.0,0.21739130434782608,5,0,0.06579967790052169,3
52,amanchaudhary-95,0.0014104589752244438,0.0,0.21739130434782608,5,0,0.0657815748944376,4
53,santiagxf,0.0012495039125033555,0.0,0.21739130434782608,5,0,0.06571719286934917,3
54,tsvikas,0.005010078231417541,0.0,0.17391304347826086,4,0,0.054177944336045274,3
55,deepak0x,0.0026522840617082184,0.0,0.17391304347826086,4,0,0.053234826668161546,2
56,riunyfir,0.002474612224304529,0.00010407666886225666,0.17391304347826086,4,3,0.05319498093385875,2
57,miguelg719,0.002548862647077121,0.0,0.17391304347826086,4,0,0.053193458102309105,2
58,tetv,0.002371429602454132,2.7563683990917287e-05,0.17391304347826086,4,1,0.053130753989657185,3
59,lesong36,0.00237147136406998,0.0,0.17391304347826086,4,0,0.05312250158910625,2
60,laurafbec,0.0021404305346155467,0.0,0.17391304347826086,4,0,0.05303008525732448,2
61,arkonchen,0.0021104997548197003,0.0,0.17391304347826086,4,0,0.05301811294540614,3
62,MilesQLi,0.002047601923315268,0.0,0.17391304347826086,4,0,0.05299295381280437,2
63,xxxlwb,0.0019262727362267529,0.0,0.17391304347826086,4,0,0.05294442213796896,3
64,thoffmann-artidis,0.0018364790462908698,0.0,0.17391304347826086,4,0,0.05290850466199461,3
65,SirCypkowskyy,0.0017591425737383778,0.0,0.17391304347826086,4,0,0.05287757007297361,2
66,SauravMaheshkar,0.0016672139688486281,0.0,0.17391304347826086,4,0,0.05284079863101771,2
67,Rudra-Tiwari-codes,0.0016384316264206427,0.0,0.17391304347826086,4,0,0.05282928569404652,2
68,failuresmith,0.0015989272913758228,0.0,0.17391304347826086,4,0,0.052813483960028586,2
69,ionmincu,0.0015875540736759585,0.0,0.17391304347826086,4,0,0.05280893467294864,3
70,alvinttang,0.0014584720572120848,0.00012914536421606505,0.17391304347826086,4,3,0.05279604547562791,3
71,as775116191,0.001543643493227911,0.0,0.17391304347826086,4,0,0.052791370440769425,2
72,yksanjo,0.0015350888107896683,0.0,0.17391304347826086,4,0,0.052787948567794125,3
73,Senna1960321,0.0015318710418663396,0.0,0.17391304347826086,4,0,0.052786661460224794,3
74,chang923,0.0015156503807511248,0.0,0.17391304347826086,4,0,0.052780173195778705,3
75,eric-burel,0.0014997880262702127,5.702831170534612e-06,0.17391304347826086,4,1,0.0527755391033375,2
76,YashalKanungo,0.0014813581999061245,0.0,0.17391304347826086,4,0,0.05276645632344071,3
77,AnkushMalaker,0.0014600199682368482,0.0,0.17391304347826086,4,0,0.052757921030772995,3
78,uncle-yura,0.0014563383981585516,0.0,0.17391304347826086,4,0,0.05275644840274168,2
79,Maxew42,0.0013955786287851177,0.0,0.17391304347826086,4,0,0.052732144494992306,3
80,GhaziBenDahmane,0.0013888660116280248,0.0,0.17391304347826086,4,0,0.05272945944812947,3
81,GiovaneIwamoto,0.001344856818751956,0.0,0.17391304347826086,4,0,0.05271185577097904,3
82,thoman1,0.0013262946195283553,0.0,0.17391304347826086,4,0,0.0527044308912896,3
83,jaxonister,0.0012929364659864287,0.0,0.17391304347826086,4,0,0.05269108762987283,3
84,andreitava-uip,0.001273377532245363,0.0,0.17391304347826086,4,0,0.052683264056376404,3
85,Yuvashrikumar,0.0012326534023189603,0.0,0.17391304347826086,4,0,0.05266697440440584,2
86,zhongyunWan,0.0011924316437704697,5.702831170534612e-06,0.17391304347826086,4,1,0.052652596550337605,3
