rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
1,innat,0.0142923642507649,0.029870501923536033,1.0,51,26,0.31467809627736676,8
2,fchollet,0.029947952183804298,0.09502171727552301,0.8431372549019608,43,207,0.29342687252676686,8
3,drasmuss,0.005023285891227234,0.01427801082754324,0.5098039215686274,26,1,0.15923389407534208,8
4,pure-rgb,0.0035128465296384785,0.0042406389854021485,0.4117647058823529,21,1,0.1262067420721819,8
5,AGFACBNNR,0.003445610111320181,0.00025678699485078054,0.39215686274509803,20,2,0.11910233896651272,8
6,pass-lin,0.0029958440744187373,0.00023764092456298534,0.37254901960784315,19,1,0.11303433578948933,8
7,LarsKue,0.0035629826854680605,0.0029416801213366602,0.3333333333333333,17,2,0.10230769711058821,8
8,martin-gorner,0.0017464646660521783,0.0006177360210353859,0.27450980392156865,14,4,0.08323684784920207,8
9,edwardyehuang,0.006332593468222454,0.019899230432009158,0.23529411764705882,12,3,0.07909104181100937,7
10,dryglicki,0.0031208571061064182,0.004505649873879728,0.2549019607843137,13,6,0.0790706260399006,7
11,amadhan882,0.002547105378779454,0.004503368453196513,0.2549019607843137,13,2,0.07884044092276485,6
12,lbortolotti,0.002797787516752364,0.00023643189282408417,0.2549019607843137,13,1,0.07766063280984228,8
13,MathiesW,0.001849941818133045,0.0,0.23529411764705882,12,0,0.07132821202137087,7
14,mattdangerw,0.003227152511386008,0.015611203895156849,0.21568627450980393,11,62,0.07068010452604265,8
15,emi-dm,0.004146466485565659,0.0022919285626085656,0.19607843137254902,10,5,0.06116969457477354,8
16,foxik,0.0022602675423014965,0.002960507607348729,0.19607843137254902,10,5,0.06061578871088992,8
17,ageron,0.0017506739306725886,0.0,0.19607843137254902,10,0,0.05952379898403374,7
18,Zhaopudark,0.0016231516135132129,0.0,0.19607843137254902,10,0,0.05947279005716999,6
19,roebel,0.0013966014880096324,0.0,0.19607843137254902,10,0,0.059382170006968556,6
20,jvishnuvardhan,0.001617078189755569,0.00861593246241293,0.17647058823529413,9,46,0.05617278748521434,8
21,old-school-kid,0.001511389900556699,0.008087776213575633,0.17647058823529413,9,23,0.055972065294883605,8
22,chenmoneygithub,0.002120308155055027,0.004423317755759936,0.17647058823529413,9,15,0.055116295059338224,7
23,shkarupa-alex,0.0013408088575745164,0.00423024156459186,0.17647058823529413,9,4,0.0547465724829956,7
24,sayakpaul,0.002515450235517438,0.0010971671803904303,0.17647058823529413,9,2,0.05427650671891234,7
25,Isa-Fay,0.0021722466982262005,0.0,0.17647058823529413,9,0,0.05381007514987871,5
26,ILCSFNO,0.002003313816470445,0.0,0.17647058823529413,9,0,0.053742501997176416,6
27,DLumi,0.0018233243269448066,7.571892204212769e-06,0.17647058823529413,9,1,0.05367277776902742,6
28,markub3327,0.0016473468643015334,0.0,0.17647058823529413,9,0,0.05360011521630885,6
29,dkgaraujo,0.0014201911387498587,0.0,0.17647058823529413,9,0,0.05350925292608818,7
30,ghost,0.0012968532579372613,0.0,0.17647058823529413,9,0,0.05345991777376314,7
31,kiukchung,0.002020631836159681,0.005234059222102036,0.1568627450980392,8,3,0.04943729403050625,7
32,tosubmitissue,0.0027676411285913736,0.0,0.1568627450980392,8,0,0.048165879980848314,5
33,markomitos,0.0022657320337281074,0.0,0.1568627450980392,8,0,0.04796511634290301,5
34,ningxiudg,0.001980501967651779,0.0,0.1568627450980392,8,0,0.04785102431647248,5
35,SamuelMarks,0.001605245638717562,0.0,0.1568627450980392,8,0,0.04770092178489879,6
36,Gandalf401,0.001583043620572845,0.0,0.1568627450980392,8,0,0.047692040977640904,5
37,larschristensen,0.001310856616704883,0.0,0.1568627450980392,8,0,0.04758316617609372,5
38,ariG23498,0.003165722491115145,0.003854675585190777,0.13725490196078433,7,1,0.043599162260238584,6
39,AdityaKane2001,0.0028226404122555036,0.0035938453940540286,0.13725490196078433,7,7,0.043383680371353706,7
40,AakashKumarNain,0.002810465643387604,0.002796758882681802,0.13725490196078433,7,10,0.04313968451039488,7
41,GallagherCommaJack,0.004275293403585036,0.0,0.13725490196078433,7,0,0.042886587949669305,6
42,khteh,0.002890645916937998,0.0,0.13725490196078433,7,0,0.042332728955010494,5
43,cheyennee,0.001999423349743636,0.0,0.13725490196078433,7,0,0.04197623992813275,6
44,Doch88,0.0013472369887831096,3.582087465839117e-05,0.13725490196078433,7,3,0.04172611164614606,5
45,minsung-kang94,0.0012838575667045368,0.0,0.13725490196078433,7,0,0.04169001361491711,5
46,yubori,0.0012587567416789307,0.0,0.13725490196078433,7,0,0.041679973284906864,5
47,grasskin,0.0014595418649468188,0.012207849205002756,0.11764705882352941,6,25,0.039540289154538374,8
48,divyashreepathihalli,0.002153559007715587,0.010935733701559536,0.11764705882352941,6,47,0.039436261360612915,8
49,james77777778,0.0028266530145784645,0.00605500406484869,0.11764705882352941,6,36,0.03824128007234481,8
50,santi-mir,0.0018951842188287171,0.004798993039698833,0.11764705882352941,6,42,0.03749188924649996,7
51,crohkohl,0.004143473139268037,8.112741647370822e-06,0.11764705882352941,6,1,0.03695394072526025,4
52,RyanSaxe,0.0030988939894096464,0.00019642403661400968,0.11764705882352941,6,1,0.03659260245380688,4
53,oluwandabira,0.0025123933237098726,0.0,0.11764705882352941,6,0,0.03629907497654277,4
54,JuanVargas,0.0024943964703693982,0.0,0.11764705882352941,6,0,0.036291876235206584,4
55,tarushbansal,0.002329093602130901,0.0,0.11764705882352941,6,0,0.036225755087911184,4
56,ramakc153,0.002307459009663579,0.0,0.11764705882352941,6,0,0.036217101250924255,4
57,jackd,0.0014712261003525045,0.0008067097862604353,0.11764705882352941,6,2,0.03612462102307796,7
58,abhaskumarsinha,0.0018135339929635837,9.265860396052677e-05,0.11764705882352941,6,1,0.03604732882543241,6
59,griffinstalha,0.0017948910190838548,0.0,0.11764705882352941,6,0,0.03601207405469237,4
60,limzikiki,0.0015475309114371266,0.0,0.11764705882352941,6,0,0.035913130011633675,4
61,t-kalinowski,0.0012781533958439743,2.9621907963733468e-05,0.11764705882352941,6,2,0.03581426557778553,5
62,maybeLee,0.001236953560401788,8.649430710196893e-06,0.11764705882352941,6,1,0.0357914939004326,4
63,qlzh727,0.0015570702899031078,0.03387943953826406,0.0784313725490196,4,46,0.03431607174214634,8
64,sampathweb,0.0013635534142240155,0.009909885065181659,0.09803921568627451,5,28,0.03293015159112646,8
65,MagicBOTAlex,0.004775308649916362,0.0,0.09803921568627451,5,0,0.031321888165848896,4
66,asfdf-sudo,0.0032461613694325557,0.0,0.09803921568627451,5,0,0.030710229253655373,5
67,hmaarrfk,0.0030887393340766683,5.096465906681671e-05,0.09803921568627451,5,1,0.030662549837233065,4
68,stellarpower,0.0020976408585823892,0.001361491649753586,0.09803921568627451,5,1,0.030659268544241385,4
69,MrinalTyagi,0.0016612657100812916,0.0016333174109274423,0.09803921568627451,5,5,0.030566266213193104,5
70,soumik12345,0.0018898264197717356,0.001294844247917155,0.09803921568627451,5,2,0.030556148548166195,5
71,Star9daisy,0.001988900346808055,0.0009737162147994381,0.09803921568627451,5,1,0.030499439709045405,5
72,ghylander,0.0026956483261133695,4.077172725345337e-06,0.09803921568627451,5,1,0.030491247188145304,4
73,Dobiasd,0.002395978992046674,0.0,0.09803921568627451,5,0,0.030370156302701023,4
74,kerighan,0.002326278460603743,0.0,0.09803921568627451,5,0,0.03034227609012385,3
75,nexeora,0.0022758828818329685,0.0,0.09803921568627451,5,0,0.03032211785861554,5
76,jakirkham,0.0019656981145820132,0.0,0.09803921568627451,5,0,0.03019804395171516,4
77,partiallycomplex,0.0018229731692096542,0.0,0.09803921568627451,5,0,0.030140953973566215,4
78,curiarteb,0.001813914044229783,0.0,0.09803921568627451,5,0,0.030137330323574265,3
79,breadbread1984,0.0015748848868181395,0.0,0.09803921568627451,5,0,0.030041718660609607,4
80,Carath,0.0015475974544467944,0.0,0.09803921568627451,5,0,0.03003080368766107,4
81,WenjieZ,0.0014530543627330366,0.0,0.09803921568627451,5,0,0.02999298645097557,4
82,rivershah,0.0011371308704652134,0.00033611920721123717,0.09803921568627451,5,4,0.02996745281623181,6
83,MilkFiish,0.00136203032283863,0.0,0.09803921568627451,5,0,0.029956576835017804,4
84,jamesmishra,0.0013520141208440664,0.0,0.09803921568627451,5,0,0.029952570354219978,5
85,awsaf49,0.00130630769613467,0.0,0.09803921568627451,5,0,0.02993428778433622,5
86,dmagee,0.0012930174980693647,0.0,0.09803921568627451,5,0,0.029928971705110097,5
87,raftAtGit,0.0012664416472380606,0.0,0.09803921568627451,5,0,0.029918341364777577,4
88,suvadityamuk,0.0012222742101717196,0.0,0.09803921568627451,5,1,0.02990067438995104,5
89,ixig,0.0011932340422832351,0.0,0.09803921568627451,5,0,0.029889058322795647,5
90,kwchan7,0.0011830179487908072,0.0,0.09803921568627451,5,0,0.029884971885398674,5
91,arthurflor23,0.0011623165632540242,1.2704477776503945e-05,0.09803921568627451,5,1,0.029880502674516914,6
92,ProtossDragoon,0.0011712984534279734,0.0,0.09803921568627451,5,0,0.02988028408725354,4
93,ThibaultDECO,0.0011096743698297518,0.0,0.09803921568627451,5,0,0.029855634453814252,4
94,odinsbane,0.0011070493734519123,0.0,0.09803921568627451,5,0,0.02985458445526312,4
95,kretes,0.0010960472564462715,0.0,0.09803921568627451,5,0,0.02985018360846086,4
96,ma7555,0.0010299410918543324,0.0,0.09803921568627451,5,0,0.029823741142624087,5
97,rlcauvin,0.0027744904857221263,0.008310009421723373,0.0784313725490196,4,3,0.027132210785511743,5
98,kamlishgoswami,0.00539427937482515,0.0,0.0784313725490196,4,0,0.02568712351463594,3
99,haifeng-jin,0.0012460981439141351,0.00547816770518643,0.0784313725490196,4,41,0.025671301333827466,8
100,mthiboust,0.002732914772058403,0.0022782700339786513,0.0784313725490196,4,3,0.025306058683722838,5
101,pctablet505,0.0015945728927805759,0.003544128155690086,0.0784313725490196,4,25,0.025230479368525138,7
102,PlumBlossomMaid,0.0038112831479366715,0.0,0.0784313725490196,4,0,0.02505392502388055,4
103,hoangtnm,0.0036969392642575375,0.0,0.0784313725490196,4,0,0.025008187470408897,3
104,kanpuriyanawab,0.003626431608432824,0.0,0.0784313725490196,4,0,0.024979984408079012,4
105,PatReis,0.0027673547977162794,0.0009983248644631296,0.0784313725490196,4,2,0.02493585114313133,4
106,adi-kmt,0.0017507767152676375,0.0016511352482762246,0.0784313725490196,4,2,0.024725063025295806,4
107,rchiodo,0.002533430924404904,0.0,0.0784313725490196,4,0,0.024542784134467845,3
108,filusn,0.0023051195458975017,0.0,0.0784313725490196,4,0,0.024451459583064883,4
109,alkaou,0.002202033752516549,0.0,0.0784313725490196,4,0,0.0244102252657125,3
110,justinvyu,0.002179798773710048,0.0,0.0784313725490196,4,0,0.024401331274189902,3
111,kelvinlyy,0.0020565009177211553,0.0,0.0784313725490196,4,0,0.024352012131794346,4
112,reuvenperetz,0.0020481966611244425,0.0,0.0784313725490196,4,0,0.024348690429155658,3
113,goncrosa,0.0019507651611850494,0.0,0.0784313725490196,4,0,0.024309717829179903,4
114,gilfree,0.001896026545201019,0.0,0.0784313725490196,4,0,0.02428782238278629,3
115,untilted,0.0018564175553748687,0.0,0.0784313725490196,4,0,0.02427197878685583,3
116,DriesSmit,0.0018551492943577577,0.0,0.0784313725490196,4,0,0.024271471482448986,3
117,bzamecnik,0.0018231308180931367,0.0,0.0784313725490196,4,0,0.024258664091943136,3
118,kkolli,0.0017847064146297843,0.0,0.0784313725490196,4,0,0.024243294330557795,3
119,mw66,0.0015147533328247196,0.00023764092456298534,0.0784313725490196,4,1,0.024206605375204665,3
120,jchwenger,0.001147240829179611,0.0007226642412002336,0.0784313725490196,4,1,0.024205107368737797,5
121,DarrenR96,0.0016731836224881513,0.0,0.0784313725490196,4,0,0.02419868521370114,4
122,dariush-bahrami,0.0016038622383595703,0.0,0.0784313725490196,4,0,0.02417095666004971,3
123,APJansen,0.0015115202867707837,0.0,0.0784313725490196,4,0,0.024134019879414194,4
124,ankandrew,0.0014697746788378014,0.0,0.0784313725490196,4,0,0.024117321636241,3
125,cmdlinebeep,0.0014664896668317188,0.0,0.0784313725490196,4,0,0.02411600763143857,4
126,das-apratim,0.0014659464791439794,0.0,0.0784313725490196,4,0,0.024115790356363475,4
127,dmirecki,0.0014310870957106704,0.0,0.0784313725490196,4,0,0.02410184660299015,3
128,Ineedsomehelpah,0.0014094569233403195,0.0,0.0784313725490196,4,0,0.02409319453404201,3
129,surajpandey353,0.0014085786115069945,0.0,0.0784313725490196,4,0,0.02409284320930868,4
130,david-eidmann,0.0014080441586304616,0.0,0.0784313725490196,4,0,0.024092629428158065,4
131,rkazants,0.0013771085260536233,1.3180084891728598e-05,0.0784313725490196,4,1,0.02408420920059485,4
132,pksX01,0.0013757761850731144,0.0,0.0784313725490196,4,1,0.024079722238735127,4
133,SteffenBauer,0.0013581073026266634,0.0,0.0784313725490196,4,0,0.024072654685756548,3
134,arisliang,0.001349678017276066,0.0,0.0784313725490196,4,0,0.02406928297161631,4
135,adrinjalali,0.0013277241648756268,0.0,0.0784313725490196,4,0,0.024060501430656134,3
136,wesselvannierop,0.00132739293093647,0.0,0.0784313725490196,4,0,0.02406036893708047,3
137,sirfz,0.0013173727853431482,2.6210396091505736e-06,0.0784313725490196,4,1,0.024057147190725887,4
138,kaixih,0.0013072142927095306,0.0,0.0784313725490196,4,0,0.024052297481789695,3
139,edge7,0.0010489531476244166,0.00028278105116502297,0.0784313725490196,4,6,0.024033827339105154,6
140,q-ycong-p,0.0012304257447610177,0.0,0.0784313725490196,4,0,0.024021582062610288,4
141,sebastian-sz,0.0011897531203114901,1.0484158436602295e-05,0.0784313725490196,4,1,0.024008458260361458,4
142,itmo153277,0.001008431183860041,0.0002323988453446842,0.0784313725490196,4,1,0.024002503891853304,4
143,sineeli,0.0011083181974259626,7.750807469307816e-05,0.0784313725490196,4,1,0.02399599146608419,5
144,wenwen-666,0.0011593100824734543,0.0,0.0784313725490196,4,0,0.023993135797695263,4
145,shashaka,0.001144058882610188,2.0094637003487733e-05,0.0784313725490196,4,2,0.023993063708851004,5
146,DameNianch,0.0011498038084995844,0.0,0.0784313725490196,4,0,0.023989333288105714,4
147,BenjaminDug,0.0011264889016051208,0.0,0.0784313725490196,4,0,0.02398000732534793,4
148,jhoydis,0.001112253828560216,0.0,0.0784313725490196,4,0,0.02397431329612997,4
149,caiuspetronius,0.001108945452668189,0.0,0.0784313725490196,4,0,0.023972989945773158,4
150,rafak360,0.0010984409715247814,0.0,0.0784313725490196,4,0,0.023968788153315795,4
151,ielenik,0.00109162080650179,6.989438957734863e-06,0.0784313725490196,4,1,0.02396815691899392,4
152,moumed,0.001092638465106954,0.0,0.0784313725490196,4,0,0.023966467150748665,4
153,Shuo-Sun20,0.0010920874926893418,0.0,0.0784313725490196,4,0,0.02396624676178162,4
154,ravinderkhatri,0.0010868813135884257,0.0,0.0784313725490196,4,0,0.02396416429014125,4
155,Senantq,0.001085323128310154,0.0,0.0784313725490196,4,0,0.023963541016029943,4
156,StevenHuang2020,0.0010572082764915545,0.0,0.0784313725490196,4,0,0.023952295075302502,4
157,ccurro,0.0010521307435952885,0.0,0.0784313725490196,4,0,0.023950264062143997,4
158,EnderWiggin14,0.0010512190471379226,0.0,0.0784313725490196,4,0,0.02394989938356105,4
159,manuelpaeza,0.0010235564827233742,0.0,0.0784313725490196,4,0,0.02393883435779523,4
160,bizzyvinci,0.0010186799154368721,0.0,0.0784313725490196,4,0,0.02393688373088063,4
161,lxzheng,0.0010058750390732854,1.3396424668991819e-05,0.0784313725490196,4,1,0.023935780707735894,4
162,qspi,0.0010131824329792836,0.0,0.0784313725490196,4,0,0.023934684737897595,4
163,joonjeon,0.0010056339012269103,0.0,0.0784313725490196,4,0,0.023931665325196645,4
164,saddamhijazi,0.0010051256836763735,0.0,0.0784313725490196,4,0,0.02393146203817643,4
165,AmedeoBiolatti,0.0010043265633463282,0.0,0.0784313725490196,4,0,0.023931142390044412,4
166,cqwangding,0.000992963643486165,0.0,0.0784313725490196,4,0,0.02392659722210035,4
167,PhyllisJi,0.000992350008491352,0.0,0.0784313725490196,4,0,0.023926351768102424,4
168,hertschuh,0.0021064332633782003,0.010687700064495475,0.058823529411764705,3,69,0.021695942148229334,8
169,water-vapor,0.0037958039523696275,0.0,0.058823529411764705,3,0,0.019165380404477263,3
170,nicolaspi,0.0011681066437378134,0.0028379268546438463,0.058823529411764705,3,3,0.01896567953741769,4
171,gregstarr,0.0014839794484063442,0.001725867214638681,0.058823529411764705,3,3,0.018758410767283552,5
